,微博正文,发布时间,ip
250,"['巴以冲突', '野兽', '造假', '友军', '看不下去', '质疑', '以色列国防军', '哈马斯', '希法', '医院', '证据', '以色列', '军队', '视频', '美国有线电视新闻网', '记者', '以色列国防军', '国际', '媒体', '人员', '地区', '重新分配', '武器', '英国', '媒体', '以色列', '代表', '提供', '证据', '真实性', '怀疑']",2023/11/18 23:45,
252,"['巴以冲突', '以色列', '攻打', '加沙', '全境', '以军', '轰炸', '联合国', '难民', '机构', '下属', '学校', '避难', '平民', '睡梦中', '遭遇', '空袭', '伤亡', '半岛', '电视台', '最新消息', '袭击', '至少', '死亡', '这位', '研究员', '说法', '伤亡', '摆拍', '毕竟', '研究员', '考察', '情绪', '事实']",2023/11/18 23:38,
254,"['开战', '俄罗斯', '打成', '世界', '经济体', '巴以冲突', '以色列', '经济', '下降', '小国', '大国', '没什么', '战略', '纵深', '输不起', '俄罗斯', '经济', '打上去', '以色列', '经济', '越来越', '盟友', '输血', '战争', '留给', '世界', '启示', '聊聊', '巴以冲突', '巴以', '战争', '启示']",2023/11/18 23:35,
261,"['以色列', '博主', '精神', '放光芒', '微博', '视频', '声称', '巴勒斯坦', '老太', '控诉', '哈马斯', '阿拉伯语', '博主', '巴勒斯坦', '可可', '辟谣', '控诉', '以色列', '不管怎么', '网页', '链接', '举报', '了图', '听说', '精神', '放光芒', '删除', '拉黑', '评论', '很好', '试试看', '删除', '巴以冲突', '以色列', '巴勒斯坦', '冲突', '以色列', '轰炸', '加沙', '医院', '伤亡', '以色列', '以色列', '拒绝', '停火', '以色列', '声称', '联合国', '合法性']",2023/11/16 23:44,
262,"['凤凰', '新闻', '难道', '停火', '以色列', '女人', '蹦极', '把手', '老鸨', '外交', '德国', '外长', '妇女儿童', '死去', '停火', '以色列', '新一轮', '巴以冲突', '爆发', '欧盟', '站队', '战争', '持续', '欧盟', '统一', '立场', '预见', '的未', '德国', '外长', '妇女儿童', '死去', '停火', '以色列', '来自', '凤凰', '新闻', '客户端']",2023/11/16 23:41,
271,"['日本', '民众', '集体', '犹太', '儿歌', '支持', '以色列', '游行', '儿童', '日本', '民众', '载歌载舞', '支持', '以色列', '网友', '愤怒', '民族', '过分', '儿童', '儿歌', '参加', '支持', '战争', '游行', '教授', '祖国', '强盛', '巴以冲突', '以色列', '日本', '西野', '呼啸', '微博', '视频']",2023/11/15 23:53,
272,"['巴以冲突', '以色列', '军队', '炸毁', '加沙城', '议会', '大楼', '以色列国防军', '士兵', '大楼', '拍摄', '照片', '巴以冲突', '升级', '以色列', '军队', '炸毁', '加沙', '议会', '大厦', '以色列', '军人', '占领', '加沙城', '议会', '大楼', '漆园', '隐吏', '巴黎', '微博', '视频']",2023/11/15 23:53,
279,"['巴以冲突', '哈玛斯', '违反', '停战', '协议', '以色列', '重启', '战火', '哈两军', '加萨', '爆发', '激战', '以色列', '军方', '稍早', '声称', '巴勒斯坦', '激进', '组织', '哈玛斯', '违反', '停战', '协议', '以色列', '境内', '开火', '以军', '加萨', '恢复', '哈玛斯', '武装']",2023/12/1 23:17,
281,"['以色列', '加沙', '袭击', '死亡', '人数', '超过', '加沙', '地带', '卫生部门', '发言人', '德拉', '停火', '期满', '以色列', '加沙', '地带', '袭击', '死亡', '人数', '超过', '德拉', '休战', '结束', '以色列', '侵略', '死亡', '人数', '增加', '数百人', '受伤', '巴以冲突', '升级', '加沙', '地带', '加沙', '地带', '卫生部门', '以色列', '加沙', '袭击', '死亡', '人数', '超过']",2023/12/1 23:15,
284,"['微博发', '越来越', '发着', '发着', '没多久', '新型', '流感', '发烧', '中招', '坚挺', '冲突', '结束', '巴以冲突', '缅甸', '内战', '打响', '流离失所', '生命', '世界', '和平', '惊喜', '无异于', '孙小姐', '偶遇', '匆匆', '面年', '算是', '开完', '完美', '落幕', '了想', '回家']",2023/12/1 23:06,
285,"['黎巴嫩真主党', '火箭弹', '袭击', '以色列', '北部', '地区', '以色列', '恢复', '军事行动', '意味着', '抵抗', '同步', '恢复', '以色列', '敌对', '态势', '美国', '伊朗', '俄罗斯', '东大', '包围网', '苏莱曼', '将军', '中东', '成功', '复制', '微妙', '平衡', '美国', '明目张胆', '介入', '战士', '卡西姆', '巴以冲突', '以军', '恢复', '军事', '打击', '战神', '李景隆', '微博', '视频']",2023/12/1 23:05,
295,"['拜特', '哈嫩', '以军', '大规模', '破坏', '巴勒斯坦人', '回家', '巴以冲突', '半岛', '电视台', '报道', '以色列', '军队', '轰炸', '加沙', '地带', '北部', '拜特', '哈嫩', '大规模', '破坏', '试图', '接近', '房屋', '巴勒斯坦人', '枪杀', '危险', '宇宙', '黑洞', '火凤凰', '微博', '视频']",2023/11/29 23:16,
